Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS,All-NBA
115,15.1,0.587,0.449,0.011,1.5,13.9,7.6,7.6,0.5,2.6,9.1,20.7,-0.3,-1.8,-2.1,0,0.4,0
115,16.7,0.458,0.333,0,6.2,20,12.8,24.9,3,0,14.3,36.5,-0.2,-1,-1.2,0,0,0
115,14.9,0.607,0.468,0.013,1.1,13.3,7.1,6,0.3,2.8,8.3,19.3,-0.3,-1.9,-2.2,0,0.4,0
116,10.5,0.463,0.248,0.27,9.4,12.1,10.7,12.4,2.1,1.3,15.9,18.9,-3.1,-0.1,-3.2,-0.1,0.2,0
116,10.7,0.472,0.252,0.277,9.5,11.4,10.4,13,2.2,0.9,15.8,18.2,-2.6,-0.1,-2.8,-0.1,0.3,0
116,8.5,0.405,0.222,0.222,7.7,17.8,12.7,7.2,1.2,5.5,16.8,24.6,-7.1,0.2,-6.9,-0.1,-0.1,0
117,30.8,0.591,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,4.2,3,7.1,5.7,14,1
118,20,0.594,0,0.403,13.3,23.1,18,8.3,1.4,4.3,9.5,14.8,1.1,1.9,3,2.3,6.3,0
119,10.8,0.495,0.016,0.373,5.5,15.4,10.5,6.3,2.3,1.9,11.6,16.7,-3.5,1,-2.5,-0.1,1.4,0
120,-5,0.25,1,0,0,10.7,5.5,6.6,0,0,14.3,15,-7.5,-3.9,-11.5,-0.1,-0.1,0
121,8.2,0.449,0.504,0.043,3.4,21,12.4,7.5,1.8,1.1,13.8,22.1,-4.4,-1,-5.4,-0.3,0,0
121,7.1,0.441,0.496,0.035,2.6,22.8,12.9,5.1,1.5,0.8,13.4,22.9,-5.3,-1.5,-6.8,-0.3,-0.1,0
121,12.1,0.484,0.538,0.077,6.2,14.6,10.5,16,2.7,2.2,15.7,19.2,-1.3,0.9,-0.3,0,0.1,0
122,13.3,0.568,0.006,0.395,15.5,24.1,19.7,1.6,1,4.8,21.1,13,-3.6,0.3,-3.3,-0.3,1.7,0
123,8.5,0.493,0.544,0.124,3.1,7.3,5.2,21.1,0.9,0.1,15.9,12.6,-0.6,-2,-2.6,-0.2,1.9,0
124,15.5,0.561,0.28,0.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,1.1,-0.6,0.5,1.5,5.4,0
125,17.4,0.51,0.089,0.438,2.3,12.9,7.6,17,1.8,0.4,10.4,28.4,-0.2,-1.4,-1.6,0.2,4,0
126,12.7,0.526,0.267,0.147,4.5,15.2,10,17.9,0.9,0.9,15.8,18.3,-0.6,0.7,0.1,1.1,3.6,0
127,17.2,0.573,0.012,0.477,11.3,20.8,15.9,10.5,1.6,4.5,16.9,15,0.1,2.4,2.5,2.5,4.9,0
128,10.2,0.394,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1,15.2,21.1,-2.6,-1.5,-4.2,-0.2,0.1,0
129,11.1,0.507,0.007,0.572,13.3,22.7,18,4.4,2.3,2.3,18.4,11.3,-3.5,2.1,-1.4,0.1,1.9,0
130,11.2,0.45,0.353,0.255,1.3,12.8,7.1,20,3.3,1.7,15,17.2,-2.1,0.8,-1.3,0,0.2,0
131,3.3,0.387,0.333,0.381,1.1,11.8,6.6,5,0.5,0,0,10.7,-4.4,-1.6,-6.1,-0.1,0,0
132,17.4,0.577,0.258,0.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,2.5,-1.4,1.1,2.1,6.8,0
132,16.7,0.573,0.274,0.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,2.1,-1.3,0.8,1.2,4,0
132,18.8,0.586,0.226,0.322,4.1,7.7,5.9,27.8,1.6,0.6,13.8,22.2,3.4,-1.7,1.7,0.9,2.8,0
133,8.2,0.435,0.467,0.167,7.8,4.6,6.2,11.2,1.4,0,13.4,22.9,-2.5,-4,-6.5,-0.1,-0.1,0
133,9.1,0.322,0.625,0.375,16.7,8.5,12.6,11.9,0,0,0,31.5,-0.4,-6.9,-7.3,0,0,0
133,8,0.481,0.409,0.091,5.9,3.8,4.8,11,1.7,0,17.9,21.1,-2.9,-3.4,-6.3,-0.1,0,0
134,4.5,0.388,0.448,0.052,0.5,7.3,3.7,33.9,1.4,0,29.6,16.8,-7.3,-4.1,-11.4,-0.5,-0.4,0
135,21.4,0.504,0.002,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,-1.2,1.1,-0.2,1.2,7.7,0
136,12.3,0.572,0.454,0.158,3,11.6,7.3,11.5,2.1,0.5,12.1,13.5,0.1,0.5,0.6,1.1,4.1,0
137,22.6,0.56,0.009,0.38,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,0.8,4.7,5.5,4.2,9.6,1
138,11.6,0.573,0.547,0.181,1.7,12.7,7.3,9.7,1.1,0.8,10.4,14.2,0.6,-0.2,0.4,1.1,4.1,0
139,27.6,0.633,0.34,0.366,1.9,18.7,10.4,22.2,1.3,2.2,12,29.1,6.3,-0.2,6.1,1.9,4.8,0
140,8.4,0.447,0.393,0.224,3.8,13.8,8.7,9.1,2,1.5,14.5,19.6,-3.8,-1.3,-5.2,-0.5,-0.4,0
141,11.6,0.504,0.394,0.104,2,12.3,6.9,10.2,1,0.1,7.2,18.5,-0.4,-2.6,-3,-0.4,1.2,0
142,16.5,0.509,0.21,0.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,0.7,-0.7,-0.1,1.3,3.6,0
143,11.5,0.541,0.385,0.381,6,14,10.1,7.2,1.3,1.4,11.9,14.6,-0.9,-0.6,-1.5,0.1,1.9,0
144,7.3,0.411,0.299,0.049,1.9,7.7,4.8,27.3,2.2,1,22.2,20.6,-5.2,-1.5,-6.7,-0.5,-0.3,0
144,12,0.503,0.286,0.095,1.9,11.4,6.6,37.5,0,2.6,26.8,22.6,-4,-2.8,-6.8,-0.1,0,0
